exp001	0.000000
exp002	0.000000
exp003	1.000019
exp004	-1.000019
exp005	1.000019
exp006	0
exp007	-1.000019
exp008	0
exp009	1.000019
exp010	1.000019
exp011	-0.000000
exp012	0
exp013	-1.000019
exp014	0
exp015	1.000019
exp016	1.000218
exp017	0
exp018	0
exp019	1.000218
exp020	-0.000000
exp021	-1.000019
exp022	-0.000000
exp023	0.000000
exp024	1.000019
exp025	0
exp026	0
exp027	0
exp028	0.000000
exp029	0.000000
exp030	0.000000
exp031	0.000000
exp032	0.000000
exp033	0.000000
exp034	0.000000
exp035	0.000000
exp036	0
exp037	0
exp038	1.000019
exp039	1.000019
exp040	0
exp041	0
exp042	1.000019
exp043	1.000019
exp044	1.000019
exp045	0.000000
exp046	1.000019
exp047	1.000019
exp048	1.000019
exp049	1.000019
exp050	1.000019
exp051	1.000019
exp052	1.000019
exp053	1.000019
exp054	1.000019
exp055	0
exp056	1.000019
exp057	1.000019
exp058	1.000019
exp059	1.000019
exp060	1.000019
exp061	1.000019
exp062	1.000019
exp063	1.000019
exp064	1.000019
exp065	1.000019
exp066	1.000019
exp067	1.000019
exp068	1.000019
exp069	1.000019
exp070	1.000019
exp071	1.000019
exp072	1.000019
exp073	1.000019
exp074	1.000019
exp075	1.000019
exp076	1.000019
exp077	1.000019
exp078	1.000019
exp079	0
exp080	1.000019
exp081	1.000019
exp082	0
exp083	1.000019
exp084	1.000019
exp085	1.000019
exp086	1.000019
exp087	1.000019
exp088	1.000019
exp089	1.000019
exp090	1.000019
exp091	0
exp092	0
exp093	0
exp094	0
exp095	1.000019
exp096	-1.000019
exp097	1.000019
exp098	0.000000
exp099	0.000000
exp100	1.000019
exp101	1.000019
exp102	1.000019
exp103	1.000019
exp104	1.000019
exp105	1.000019
exp106	1.000019
exp107	1.000019
exp108	0
exp109	0
exp110	1.000019
exp111	1.000019
exp112	0
exp113	1.000019
exp114	-1.000019
exp115	1.000019
exp116	0
exp117	0
exp118	0
exp119	1.000019
exp120	1.000019
exp121	1.000019
exp122	0
exp123	0
exp124	1.000019
exp125	1.000019
exp126	1.000019
exp127	1.000019
exp128	0
exp129	1.000019
exp130	1.000019
exp131	0
exp132	1.000019
exp133	1.000218
exp134	1.000019
exp135	1.000019
exp136	0
exp137	1.000019
exp138	1.000019
exp139	1.000019
exp140	1.000019
exp141	1.000019
exp142	1.000019
exp143	1.000019
exp144	0
exp145	1.000019
exp146	1.000019
exp147	1.000019
exp148	0
exp149	1.000019
exp150	1.000019
exp151	0
exp152	1.000019
exp153	1.000019
exp154	0
exp155	0
exp156	1.000019
exp157	1.000019
exp158	1.000019
exp159	1.000019
exp160	1.000019
exp161	1.000019
exp162	1.000019
exp163	1.000019
exp164	0
exp165	0
exp166	0
exp167	0
exp168	1.000019
exp169	1.000019
exp170	1.000019
exp171	1.000019
exp172	1.000019
exp173	1.000019
exp174	1.000019
exp175	1.000019
exp176	1.000019
exp177	1.000019
exp178	1.000019
exp179	0
exp180	0
exp181	1.000019
exp182	1.000019
exp183	1.000019
exp184	0
exp185	0
exp186	1.000019
exp187	1.000019
exp188	1.000019
exp189	1.000019
exp190	1.000019
exp191	1.000019
exp192	1.000019
exp193	1.000019
exp194	1.000019
exp195	1.000019
exp196	1.000019
exp197	1.000019
exp198	1.000019
exp199	1.000019
exp200	1.000019
exp201	1.000019
exp202	1.000019
exp203	1.000019
exp204	1.000019
exp205	0
exp206	1.000019
exp207	1.000019
exp208	1.000019
exp209	1.000019
exp210	1.000019
exp211	1.000019
exp212	1.000019
exp213	1.000019
exp214	1.000019
exp215	1.000019
exp216	1.000019
exp217	1.000019
exp218	1.000019
exp219	1.000019
exp220	0
exp221	0
exp222	1.000019
exp223	1.000019
exp224	0
exp225	1.000019
exp226	1.000019
exp227	1.000019
exp228	1.000019
exp229	1.000019
exp230	1.000019
exp231	1.000019
exp232	1.000019
exp233	1.000019
exp234	1.000019
exp235	1.000019
exp236	1.000019
exp237	1.000019
exp238	1.000019
exp239	1.000019
exp240	1.000019
exp241	1.000019
exp242	1.000019
exp243	1.000019
exp244	1.000019
exp245	1.000019
exp246	0
exp247	1.000019
exp248	1.000019
exp249	1.000019
exp250	1.000019
exp251	1.000019
exp252	1.000019
exp253	0
exp254	0
exp255	1.000019
exp256	1.000019
exp257	0
exp258	1.000019
exp259	1.000019
exp260	1.000019
exp261	1.000019
exp262	1.000019
exp263	0
exp264	1.000019
exp265	1.000019
exp266	1.000019
exp267	1.000019
exp268	1.000019
exp269	1.000019
exp270	1.000019
exp271	1.000019
exp272	1.000019
